VEGFR-2,-0.058481544470871394,eEF2K,-0.13674168466141928,P62,-0.1719743260176111,ATM,-0.14006673699834588,COMPLEX_IV_SUBUNIT1,-0.1413458322006082,MSH6,-0.11039235196205069,NFKB-P65,-0.068847529455033,p53,-0.12840550574570114,ATP_SYNTHASE_SUBUNIT_A,-0.09275323067944297,PKC-alpha_pS657,-0.1146329722953495,COMPLEX_II_SUBUNIT_NDUFB4,-0.12762506958623326,GATA3,-0.16438482403549462,Bim,-0.14903409678746424,CD31,-0.15790232849719613,INPP4b,-0.11373158428497569
FoxO3a,-0.05733579106421502,Atg5,-0.13311034817432751,Atg5,-0.16338828027329427,Akt,-0.13954577298422832,Rb,-0.11405339975616793,Notch3,-0.10581150152603126,COMPLEX_II_SUBUNIT_NDUFB4,-0.06870231198712733,AIF,-0.1247875781980976,Src,-0.08478529431474623,Cyclin-B1,-0.10515782160497805,Stat3_pY705,-0.11087669895393144,PARP-cleaved,-0.15488521303423483,Claudin-7,-0.13662331920667378,Chk2,-0.14815250621640444,p70-S6K_pT389,-0.10261816524005411
Paxillin,-0.04354254221175732,ATP_SYNTHASE_SUBUNIT_A,-0.1329871258053948,ER-alpha,-0.1526675371234025,GATA3,-0.1391727742368185,GATA3,-0.09770483372684308,P70S6K,-0.0907053698767053,PR,-0.0666962824614163,COMPLEX_IV_SUBUNIT1,-0.1241721825266267,PTEN,-0.08089455927390314,Cox2,-0.10428762823519853,MSH2,-0.10952316749681064,NFKB-P65,-0.15289730405993782,Cyclin-E1,-0.13004562918120816,NFKB-P65,-0.1446111678578367,PI3K-p85,-0.09721323290716383
EGFR,-0.040824310258456856,Chk2,-0.10784550453097166,EGFR,-0.1452575491031615,Paxillin,-0.13534643849512332,HER2,-0.0934334592220608,IGFBP2,-0.08911246181447223,KRAS,-0.06440606516153152,Snail,-0.12373962882664058,p70-S6K_pT389,-0.08078746251790123,PTCH,-0.09365578183146502,Cyclin-B1,-0.09974863809828603,COMPLEX_II_SUBUNIT_NDUFB4,-0.15104499221236958,Cyclophilin-D,-0.12021276396732966,Bcl-xL,-0.13286487479427914,YAP_pS127,-0.09676573559987135
Y_BOX_BP1,-0.04063107743352509,P-Cadherin,-0.08463489603914748,HER2,-0.12931213410489545,PKC-alpha_pS657,-0.13233225352618733,Caveolin-1,-0.09082741750679083,IRS1,-0.0866341979932961,PRAS40_pT246,-0.061717857762791914,Transglutaminase,-0.12278527286303612,ATP_SYNTHASE_SUBUNIT_D,-0.07696154741994861,Notch3,-0.08783586548755641,PCNA,-0.0970567453710772,COMPLEX_IV_SUBUNITIV,-0.12521202039379714,CASPASE7_CLEAVED,-0.11276561457976844,STAT5-alpha,-0.11848063751585983,MEK1,-0.09330628187466974
p53,-0.03673238939008305,4E-BP1_pS65,-0.07973093550976298,E-Cadherin,-0.12918407196423778,AIB1,-0.12491074963726191,IRS1,-0.08661563528054804,ATM,-0.08118354319070441,PDH,-0.061027143231032685,PDHA1,-0.11736531943546838,eEF2K,-0.07574108591612012,ER-alpha,-0.07757926475039345,Src_pY527,-0.09583473413062367,Annexin-1,-0.1251872115538174,Rab25,-0.11272885003859946,AR,-0.11568252294245646,ER-alpha,-0.09302254857478558
FAK,-0.03385310997670887,NF2,-0.07904463420091512,Cyclophilin-D,-0.11772229196140913,C-Raf,-0.12443585447444577,PDH,-0.08038072782559647,UBIQUITIN_CLONE_P4D1-A11,-0.08116398238361465,EGFR_PY992,-0.058948828892482236,COMPLEX_II_SUBUNIT_NDUFB4,-0.11242118642600415,Cyclin-B1,-0.0752378904647618,Cyclophilin-D,-0.07504962182456215,PDH,-0.07716459924895135,Akt,-0.12118448848017283,GATA3,-0.11260889669097537,CASPASE7_CLEAVED,-0.11545390349560489,ATP_SYNTHASE_SUBUNIT_D,-0.09131022739149641
Cyclin-D1,0.07192933112827006,PKC-alpha,0.07917805370952669,Akt_pT308,0.0446574493109678,Notch3,0.09067996565914582,ACC1_PS79,0.10900473620124246,PDK1_pS241,0.05155621553573069,COMPLEX_IV_SUBUNIT1,0.11679719890263318,ER-alpha_pS118,0.06309734369049048,Cox2,0.07113064412753785,GSK-3B,0.08423196766106217,Annexin-1,0.09687421089229672,Ku80,0.07219386835955441,B-Raf,0.07408676518930261,VEGFR-2,0.07934248852015718,Paxillin,0.11327747564982132
ER-alpha_pS118,0.07984303434004465,AMPKa_pT172,0.08454851680618831,4E-BP1_pT70,0.049094522740777614,CASPASE7_CLEAVED,0.09405328785650686,Src_pY416,0.11566390483495011,Atg5,0.053991924286436635,Rb_pS807_S811,0.11737527846819998,Notch3,0.06718126093291704,MSH2,0.07116325721636738,PDH,0.08532896723259795,VEGFR-2,0.10144346703788018,VASP,0.0730574984420478,ER-alpha,0.07876440729257779,Src_pY527,0.08062364442358715,Chk2,0.11607153369808586
eEF2K,0.082001438379935,PKC-alpha_pS657,0.0958845021117203,Beclin,0.05084771593192292,P-Cadherin,0.09863414540282392,GSK3-alpha-beta_pS21_S9,0.11653541207830197,VEGFR-2,0.05598155457847482,PKC-alpha_pS657,0.12618393985153248,Src_pY527,0.07046846625211652,p38-MAPK_pT180_Y182,0.07277445078663317,COMPLEX_II_SUBUNIT_RIESKE,0.08881598112904157,AR,0.10398705473447807,NF2,0.07690255470815506,MAPK_pT202_Y204,0.08077208354493479,eEF2K,0.08196251420363856,Src_pY527,0.11989568582347127
beta-Catenin,0.08202759436158,YAP_pS127,0.09719752597698059,YAP_pS127,0.06213834638205957,c-Kit,0.10155678681912124,p38-MAPK_pT180_Y182,0.11832720263279327,BIP,0.056671623247045,ER-alpha,0.12823650574747164,MSH2,0.07107707444926605,NF-kB-p65_pS536,0.0926887901324694,Akt_pS473,0.08990274116583938,c-Kit,0.10954964867182197,EGFR_PY992,0.08135889803971937,Rb_pS807_S811,0.09136762161262535,GATA3,0.08984356802902649,Akt,0.1208628196103534
IGFBP2,0.08958468760724118,AR,0.10012178922213262,AR,0.06666231877243174,Akt_pT308,0.10774879194403325,Cyclin-B1,0.12425831264009929,Rb_pS807_S811,0.05749817377817903,c-Kit,0.13108220626407896,INPP4b,0.08453895486441933,S6,0.10054456005430593,YAP_pS127,0.09258071287555138,Akt,0.11162641069770585,BIP,0.08532557323574276,ACC1,0.09201792558155647,PTCH,0.09390023324535096,Claudin-7,0.13200745296173427
Notch3,0.09113336505224655,EGFR,0.1028341913611003,eEF2,0.07103130356496806,AR,0.11213093182284921,ACC1,0.13120698805859282,PTEN,0.05803200726254373,UBIQUITIN_CLONE_P4D1-A11,0.13866622313599472,4E-BP1_pS65,0.0869960695277885,Beclin,0.11140596409950462,KRAS,0.09729940291769645,Rb_pS807_S811,0.11414106680168355,ATP_SYNTHASE_SUBUNIT_A,0.08790849134583151,53BP1,0.09269024001614194,BIP,0.0980278970130067,TSC2,0.13831387789126665
Chk2,0.09644399467747464,VEGFR-2,0.11408261577272535,NFKB-P65,0.07113550624039883,COMPLEX_IV_SUBUNIT1,0.11303526214867664,VEGFR-2,0.13913676234806152,ATP_SYNTHASE_SUBUNIT_D,0.05834274249430882,Cyclin-B1,0.13913744441334422,GATA3,0.09463609099183379,Claudin-7,0.11495917670717276,COMPLEX_II_SUBUNIT_CORE2,0.10141354255556803,Transglutaminase,0.12823884066794983,beta-Catenin,0.0944583929329687,Akt_pS473,0.09295823421867991,AIB1,0.10570656274622142,NF2,0.14048103241125812
P70S6K,0.10470633228673883,HER2,0.13981530272595694,PDK1_pS241,0.07631939961300008,UBIQUITIN_CLONE_P4D1-A11,0.12374723785763331,Chk2,0.13990225396467926,ATP_SYNTHASE_SUBUNIT_A,0.05964338995365813,Akt_pT308,0.14114823523414363,S6,0.10031286061442105,NFKB-P65,0.1279284870413082,CD31,0.11723726132664344,MEK1,0.1355155096383828,YAP_pS127,0.09661455310289396,ACC1_PS79,0.10017873589891323,c-Myc,0.11435825506900121,Cyclophilin-D,0.14740485621413832
Rab25,0.13567625872423075,GATA3,0.14665498568453844,Akt,0.08089004243098682,Akt_pS473,0.12884790493876708,Claudin-7,0.14254161075267696,Src,0.06829958649561207,HER2,0.1841872364730066,AIB1,0.10523516768332002,MSH6,0.1298753882557978,ATM,0.12238219420568519,P70S6K,0.13725334552660873,PDHA1,0.09822607272607783,4E-BP1_pT70,0.10051708867446743,COMPLEX_IV_SUBUNIT1,0.12988109128225186,PKC-alpha_pS657,0.15629399488934165
GATA3,0.14508987227480694,E-Cadherin,0.17003290781400943,AMPKa_pT172,0.08790147021875709,Src_pY527,0.12973270152733005,YAP_pS127,0.14818090352816418,eEF2K,0.08152864456017749,beta-Catenin,0.22724334250599973,Caveolin-1,0.11057087515088082,p53,0.14021089453865024,Bim,0.1368759185787975,Cyclophilin-D,0.13749443237267206,PRAS40_pT246,0.09847625920738012,4E-BP1_pS65,0.11905331824251521,Src_pY416,0.1343933748766366,MSH6,0.16930057988634387
AR,0.165775175468858,Claudin-7,0.18578852006386265,ACC1,0.09411429853710565,Bim,0.13899122342069709,Notch3,0.15677597319069317,Rb,0.08772081023479543,ACC1,0.22882754350506476,ER-alpha,0.17815522119255445,YAP_pS127,0.19176713595615738,Chk2,0.17143676317290482,E-Cadherin,0.17278139944491622,STAT5-alpha,0.10713559969282987,Paxillin,0.11990019739704082,UBIQUITIN_CLONE_P4D1-A11,0.1369713268387146,VEGFR-2,0.1767164050009526
E-Cadherin,0.24967357633214657,Annexin-1,0.20993315049619804,ACC1_PS79,0.10908578616315578,E-Cadherin,0.14013066185872713,AR,0.1614029301626252,ER-alpha,0.11420117682634684,Caveolin-1,0.2532248420352926,Bim,0.20897162712441117,HER2,0.28075163036689527,PRAS40_pT246,0.17225570768586992,PTEN,0.17470844072372665,Caveolin-1,0.1281223650283953,E-Cadherin,0.13845221484127523,S6,0.1496915917409451,HER2,0.20144846969737842
Claudin-7,0.2503936300287504,PR,0.24390172999517423,B-Raf,0.12841086588811837,Claudin-7,0.15355902674120533,P62,0.1721112408067856,Akt_pS473,0.11683063982856177,Akt_pS473,0.2578752003863904,p70-S6K_pT389,0.21588062468477573,STAT5-alpha,0.28495314656082327,STAT5-alpha,0.23727242527105372,Cyclin-D1,0.18122296927370393,ATM,0.1476356740902186,Akt_pT308,0.14821349880264997,COMPLEX_II_SUBUNIT_70_KDA_FP,0.16427501509716844,53BP1,0.21136899766651618
ER-alpha,0.34356045173311184,ER-alpha,0.27352441144732853,STAT5-alpha,0.1297239381326404,NF2,0.15712673338011593,EGFR,0.22234128098382425,EGFR,0.13911484776900873,IGF1R-b,0.26207535989934966,P70S6K,0.21927782560597311,EGFR,0.392901817471197,COMPLEX_IV_SUBUNIT1,0.2406835397090193,Claudin-7,0.2947131211364496,PTEN,0.21503230575003007,beta-Catenin,0.1848076984967276,P62,0.16722257133620252,Bim,0.23955670657905592
PR,0.3857702310784532,Caveolin-1,0.40430953884929677,PTEN,0.1349971108401722,beta-Catenin,0.1870130783671051,Akt_pS473,0.24280936698396177,HER2,0.6667563479583243,AR,0.3021720482353078,NF2,0.27955668739719103,c-Kit,0.47619605763177497,Caveolin-1,0.3628492404077852,Cox2,0.29532531295350367,PR,0.27248857676855864,Annexin-1,0.2864669887034573,Cyclophilin-D,0.2805769585262806,beta-Catenin,0.24535542949629788
