GCN5L2,-0.06766594302438916,HER2,-0.07501298940184191,Rab25,-0.1436263005718766,G6PD,-0.07372314216307295,PREX1,-0.11608655895319599,EGFR,-0.15968050410857113,ACC1,-0.12859386716434937,S6_pS240_S244,-0.10590754314743515,TFRC,-0.08342489228463178
PD-L1,-0.06554479848910273,Chk1_pS296,-0.06586538366509966,Smad4,-0.1388130032438918,RBM15,-0.06741091709643951,Akt_pS473,-0.11455985498477933,Akt_pT308,-0.15161316300023445,Gab2,-0.12105756295384101,Claudin-7,-0.10399138053544343,PAR,-0.08016957282646239
PARP1,-0.0615515760159767,Rad50,-0.06495661428625547,PARP1,-0.13801273764062882,PKCBETAII_PS660,-0.06552806770545416,Ets-1,-0.11362301317523202,Caveolin-1,-0.15083907345716072,SF2,-0.11856126643608407,HER2,-0.10211820341346742,GATA3,-0.07962954009747442
Gab2,-0.061298042612676226,GAPDH,-0.06236247890247525,Bcl2,-0.13150665715557774,Bcl2,-0.06340173704844868,XBP1,-0.10533197995457409,Aurora-B,-0.13690204308665782,Gys,-0.11742096645780528,PEA-15_pS116,-0.09766619440951359,G6PD,-0.07894570671650525
AMPKa_pT172,-0.05976120710628529,eEF2K,-0.05942794852599089,JAB1,-0.12778195284395044,TIGAR,-0.06237267222234849,Smac,-0.10289842336863977,Beclin,-0.13187018514791843,FASN,-0.1171373369739207,Src,-0.09759316552850052,14-3-3-zeta,-0.06829683482146773
CXCR4,-0.049370591239280066,SOD2,-0.058081599089574866,HER2_pY1248,-0.11979880283024309,LDHA,-0.06126763528651923,Shc_pY317,-0.10078415461383813,Src_pY527,-0.12249519482678475,B-Raf_pS445,-0.11497247226673898,4E-BP1_pS65,-0.0953866575115718,YAP_pS127,-0.06535871786392437
PEA-15_pS116,-0.047171536440060474,Rb_pS807_S811,-0.0577895252267588,Annexin-1,-0.1158940024690522,Heregulin,-0.05849078387046288,Gys_pS641,-0.09896447152043618,RPA32,-0.11733320746476085,Claudin-7,-0.09976017534669757,c-Met,-0.09508792672078163,Claudin-7,-0.06175606371268693
AR,-0.04664811057919828,Gab2,-0.05612650940082654,ATM_pS1981,-0.11499746673259043,FAK_pY397,-0.0581483445089126,Stat3_pY705,-0.09766817285726706,14-3-3-beta,-0.11548300363476581,GATA3,-0.09959131586759533,p38-MAPK_pT180_Y182,-0.09154366860671516,Akt_pT308,-0.06054599500637341
Chk1,-0.046488926946728404,PCNA,-0.05114018748948843,E2F1,-0.11062246882923826,eEF2,-0.05658806197211642,53BP1,-0.09447039106006799,HSP27,-0.11167078026889345,HER2,-0.09907990523554065,Puma,-0.09010238622237385,Chk2_pT68,-0.05783306795246448
ACC1_PS79,-0.045401755713049566,IGF1R-b,-0.050238522341302376,IGF1R_pY1135_Y1136,-0.10940142025238125,Annexin-1,-0.05477604108186853,PARP1,-0.08798386526842737,G6PD,-0.10693162142559531,53BP1,-0.09669489375255343,PTEN,-0.08803920823585848,DUSP4,-0.05757274653665672
IRS1,-0.04352847618259745,Stat3_pY705,-0.04935352084113724,HER2,-0.10307334591028415,ACVRL1,-0.05404364290981422,TIGAR,-0.08466814655002876,XIAP,-0.09993108067835484,Coup-TFII,-0.09527899363191547,E-Cadherin,-0.08653361531468844,NDRG1_pT346,-0.05656612425806133
EGFR,-0.04270338733239271,P70S6K,-0.048000936848566086,PARP-cleaved,-0.10188524496673292,Src_pY527,-0.053005429065145854,Puma,-0.08285113143370046,SCD1,-0.09580067290749003,Paxillin,-0.08870291787995828,Snail,-0.08401913242761397,NF-kB-p65_pS536,-0.056136727863403124
SDHA,-0.0408653489030796,INPP4b,-0.04770244845802762,FAK_pY397,-0.09956109289938973,ATM_pS1981,-0.05224731007007955,AR,-0.08229037665491427,p70-S6K_pT389,-0.09558734335820994,PREX1,-0.08764788029293007,Cyclin-D1,-0.08281626129054595,14-3-3-beta,-0.05509077604963222
p38-MAPK_pT180_Y182,-0.04030881585059115,Claudin-7,-0.04669457580064733,N-Ras,-0.09931912343361414,Rad51,-0.05069373727146277,EGFR_pY1173,-0.0807974136680552,ATP5A,-0.09336282748429019,HSP27,-0.08569180604381667,IGF1R_pY1135_Y1136,-0.0827460981221487,p70-S6K_pT389,-0.052344146017804585
IGF1R_pY1135_Y1136,-0.03983365688586177,SHP-2_pY542,-0.04510790417296322,NDUFB4,-0.09020187036110155,Rad50,-0.050279561452902445,Jak2,-0.07929331724293257,HER2_pY1248,-0.09290908218634508,RBM15,-0.0855232055811551,Tau,-0.0809812165715258,Smac,-0.05049751595750404
Vimentin,-0.0395987743013801,GATA3,-0.04471617844111191,FASN,-0.08792132462812237,ATP5A,-0.0495489524350182,Smad3,-0.07716738139271717,YAP_pS127,-0.09285124477269321,MAPK_pT202_Y204,-0.08504946231601067,AR,-0.08077764309803319,D-a-Tubulin,-0.049990165532240956
FRA-1,-0.03880992436876758,Smac,-0.04414527190856164,ADAR1,-0.08156609564184025,H2AX_pS140,-0.04923736962299935,Cyclin-D1,-0.07268180461684857,PKCBETAII_PS660,-0.09209115217351978,TSC2,-0.0802689718227188,MMP2,-0.0807031678113142,RSK,-0.04913425491938626
AMPK-alpha,0.05698433977848441,PKCBETAII_PS660,0.047537022988009194,PRAS40_pT246,0.06296914369045624,p21,0.033594504897047225,Rad50,0.07090578184810206,Claudin-7,0.05932196306013374,XRCC1,0.07852357959318446,Chk1_pS296,0.05071485749260688,Twist,0.0781818051580669
HER3_pY1289,0.05877730482994162,ER-alpha,0.050716814676518236,Collagen-VI,0.06458824968203215,SHP-2_pY542,0.036058620682273834,Syk,0.07105671007594729,MMP2,0.05942164151283562,Rad51,0.0801121520585227,Myosin-IIa_pS1943,0.053291111132058075,Heregulin,0.08121931667695985
P70S6K,0.0615656482197616,GSK3-alpha-beta,0.05074802080666525,GSK3-alpha-beta_pS21_S9,0.0646541068197645,XIAP,0.04230017470480895,PRAS40,0.07216883731597042,Rictor,0.06041372320711807,CDK1,0.08107407232019884,UGT1A,0.05423313390023445,SOD2,0.08369103319521701
FAK_pY397,0.06618653829061841,Bcl2,0.051840132182876704,MIG6,0.06479242094667088,Aurora-B,0.04767082975443235,INPP4b,0.0723111078032716,Notch1,0.06078957485579678,TSC2_PT1462,0.08166706934992841,PI3K-p110-b,0.05923794443735234,NAPSIN-A,0.08730360349267068
ER-alpha,0.06701239089717029,FoxO3a,0.05191639362961141,RPA32,0.06682446617246425,Rab11,0.05121906886077598,PDGFR-b,0.07253255407427625,YB1,0.06257176024509656,Stat3_pY705,0.08309761991349063,DM-K9-Histone-H3,0.06293784951425668,Collagen-VI,0.0880754980621201
MAPK_pT202_Y204,0.06756646790127309,CD44,0.05499781444557524,HSP27,0.0727543976879267,ER-alpha,0.055659333995147324,Rab25,0.0732453801464194,A-Raf_pS299,0.0635081460237792,Syk,0.08597483162677132,Pdcd4,0.06299165930369638,eIF4G,0.09125694251009848
Akt_pT308,0.06904934079360481,Vimentin,0.05538155181250009,p38-a,0.07418475111050662,XPA,0.057120841334395774,Cyclin-B1,0.0740782126130894,Collagen-VI,0.06445178517663327,JNK2,0.08658722625725737,Akt,0.0644371960600712,eIF4E,0.092858344057477
Shc_pY317,0.0739948525361413,Collagen-VI,0.05573004165138846,PTEN,0.0752311711995806,S6_pS235_S236,0.05769393504280808,PAI-1,0.07574851164953135,MDM2_pS166,0.06525613780173312,YAP_pS127,0.08772509861089794,GSK-3b_pS9,0.06471949243370687,Chk1,0.09394041147800027
HSP27_pS82,0.07991512802564776,JAB1,0.057442955189500815,LDHA,0.07667072627712557,YAP_pS127,0.05870473740957526,p53,0.07967349973225357,Rad50,0.06656341399639956,Cyclin-E1,0.0879226796675062,CASPASE9_CLEAVED,0.0657021228474907,PD-L1,0.1028078079137508
p70-S6K_pT389,0.08084750842870407,14-3-3-epsilon,0.05865872165284207,p21,0.07861381428842022,p70-S6K_pT389,0.06011795108091329,Mitochondria,0.08386259458669015,MAPK_pT202_Y204,0.06738888568940542,c-Myc,0.09425481625359527,Histone-H3,0.06610926337165704,B-Raf_pS445,0.10368987731795484
HER3,0.08975467855356853,PARP1,0.059325231932674485,p16INK4a,0.0797565829553306,c-Jun_pS73,0.06136234925920725,Cyclophilin-F,0.0886059949304102,PMS2,0.06934470100624378,XBP1,0.09641666845350028,Smac,0.06925799401998571,Src_pY527,0.10808345598368391
S6_pS235_S236,0.09207612971337215,p27_pT198,0.059733364530862636,Src_pY527,0.08566196927108966,S6_pS240_S244,0.06307339603188486,PI3K-p110-b,0.09074400937306229,HER3,0.06954173207835099,RPA32,0.09672038294856848,NDRG1_pT346,0.07020106353342863,SETD2,0.11083710438577306
DUSP4,0.09491987410829945,PD-L1,0.06259405163047402,Stat3_pY705,0.08870547328486707,14-3-3-beta,0.07862302040119891,GAPDH,0.09075267000432122,14-3-3-epsilon,0.07507541535276277,Beclin,0.09861184898206721,VEGFR-2,0.0751069409973697,p38-MAPK_pT180_Y182,0.11135634650167256
ERCC5,0.10001104276021214,Hif-1-alpha,0.07293103235633434,14-3-3-zeta,0.09414047827078813,Akt_pS473,0.0889091637059476,Cox-IV,0.09297247334944735,c-Jun_pS73,0.07742310574908971,Shc_pY317,0.10083813694774403,TFRC,0.0902019521307105,PKC-alpha_pS657,0.11645550110548457
Cytokeratin-19,0.1019508555822572,Coup-TFII,0.07345510942760432,PKC-alpha_pS657,0.09488582473955642,Smac,0.09717180945203145,RPA32,0.09312939090808935,TFRC,0.08116757110825633,Hif-1-alpha,0.1242334727559263,Caveolin-1,0.10189665125029775,S6_pS240_S244,0.12481826760260337
Myosin-IIa_pS1943,0.10277505450192591,FASN,0.09615405506620824,AMPKa_pT172,0.10373783526683952,eIF4G,0.1076061601176649,MAPK_pT202_Y204,0.0997611918431703,Smac,0.08520519805149894,Akt_pS473,0.12576420785492784,Akt_pT308,0.10311701122241643,S6_pS235_S236,0.1263883280091952
Akt_pS473,0.11258382084112917,S6_pS235_S236,0.09792646273246167,JNK2,0.10561688369986416,EGFR,0.11413533974987033,PLK1,0.10251759324911783,XPA,0.08721605692566414,G6PD,0.12627479506042635,LDHA,0.11918145969354535,HSP27_pS82,0.12769475558439994
Syk,0.11388890204990545,GSK3-alpha-beta_pS21_S9,0.0985676495398475,SOD2,0.10744909848417171,Cytokeratin-19,0.11605950597984321,Chk1,0.10410010692151707,DUSP4,0.10837126963490092,LDHA,0.12787851569903524,Annexin-1,0.12479026345898879,AR,0.1299125889851328
G6PD,0.12476622820356285,GSK-3b_pS9,0.10047066985475801,ATP5A,0.11537521072935014,Beclin,0.14442510131489827,p70-S6K_pT389,0.10629377802506336,NDRG1_pT346,0.10965940785212867,HER2_pY1248,0.12893619519343824,Gab2,0.12869296929379068,c-Kit,0.1345019473990844
E-Cadherin,0.15851290298978915,PRAS40_pT246,0.1242090559311622,G6PD,0.11942577148320033,Rb_pS807_S811,0.14466633313190655,DUSP4,0.11478726009057297,Rb_pS807_S811,0.1211191897004012,GAPDH,0.13306278501569874,GATA3,0.15415698882637993,AMPKa_pT172,0.13752020473448276
PREX1,0.1612579519873549,SCD1,0.13624327184816432,PCNA,0.1240602294710055,Paxillin,0.15598983154567805,PCNA,0.11666906804131066,S6_pS240_S244,0.12978360323855556,Rab25,0.1360475235926921,Connexin-43,0.17745148958172483,Src_pY416,0.13974516664383604
FASN,0.17991922250301767,p70-S6K_pT389,0.14214761717281083,Akt_pS473,0.1532250711397528,XBP1,0.1760548302054919,Claudin-7,0.1531044603691344,ER-alpha,0.14444899104180858,c-Jun_pS73,0.13668387229742307,FASN,0.19251083135640035,HER2_pY1248,0.1459908911463436
Claudin-7,0.18135700336086719,NDRG1_pT346,0.1662806452675688,Cytokeratin-19,0.22095357737509946,TAZ,0.1884428416229162,PAR,0.1895990806163907,eIF4G,0.14743530222254045,ATP5A,0.14901575790403873,PDGFR-b,0.23222040542022437,Cytokeratin-19,0.16005175344829822
HER2,0.3468892870603755,Akt_pT308,0.533485024034701,Akt_pT308,0.22193979021480215,Puma,0.20459815886155389,Cytokeratin-19,0.2583421399313955,S6_pS235_S236,0.1707009758675669,ER-alpha,0.17082699128493284,Cytokeratin-19,0.2493636326677433,Stat3_pY705,0.18100865736418598
HER2_pY1248,0.4382831075277106,Akt_pS473,0.5597282214899812,GAPDH,0.24161417683955744,PD-L1,0.6344902488638647,PD-L1,0.33928217982376613,Paxillin,0.19162637294203108,TFRC,0.1862244332880406,ER-alpha,0.3392913362993374,ER-alpha,0.46108144926912004
